
0it [00:00, ?it/s]
1it [01:12, 72.93s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9221.541186413957	Time: 0:01:12.928934: : 1it [01:12, 72.93s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9221.541186413957	Time: 0:01:12.928934: : 2it [02:22, 71.09s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8949.729498756305	Time: 0:01:09.807572: : 2it [02:22, 71.09s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8949.729498756305	Time: 0:01:09.807572: : 3it [03:32, 70.40s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8836.894995445628	Time: 0:01:09.579097: : 3it [03:32, 70.40s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8836.894995445628	Time: 0:01:09.579097: : 4it [04:41, 70.05s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8762.980619832539	Time: 0:01:09.515689: : 4it [04:41, 70.05s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8762.980619832539	Time: 0:01:09.515689: : 5it [05:51, 69.92s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8721.078996461603	Time: 0:01:09.683679: : 5it [05:51, 69.92s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8721.078996461603	Time: 0:01:09.683679: : 6it [07:01, 69.95s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8686.345753485846	Time: 0:01:10.018091: : 6it [07:01, 69.95s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8686.345753485846	Time: 0:01:10.018091: : 7it [08:11, 69.89s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8668.589353279149	Time: 0:01:09.751496: : 7it [08:11, 69.89s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8668.589353279149	Time: 0:01:09.751496: : 8it [09:21, 69.89s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8653.1928163537	Time: 0:01:09.905870: : 8it [09:21, 69.89s/it] 
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8653.1928163537	Time: 0:01:09.905870: : 9it [10:31, 69.95s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8635.163545753923	Time: 0:01:10.073859: : 9it [10:31, 69.95s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8635.163545753923	Time: 0:01:10.073859: : 10it [11:42, 70.30s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8623.940974898402	Time: 0:01:11.082908: : 10it [11:42, 70.30s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8623.940974898402	Time: 0:01:11.082908: : 11it [12:52, 70.34s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8617.533678268637	Time: 0:01:10.438981: : 11it [12:52, 70.34s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8617.533678268637	Time: 0:01:10.438981: : 12it [14:04, 70.86s/it]
Epoch: [12/50]	 Seen Samples: [171264/714500]	Train Loss: 8614.423552235146	Time: 0:01:12.055564: : 12it [14:04, 70.86s/it]
